return_period_yr,agg_n_cells,agg_events
1.0341047754958532,1535,99
1.0340833884844474,1535,99
1.0340620023576614,1535,99
1.0340406171154404,1535,99
1.0340192327577293,1535,99
1.0339978492844735,1535,99
1.033976466695618,1534,99
1.0339550849911079,1534,99
1.0339337041708885,1534,99
1.0339123242349049,1534,99
1.033890945183102,1534,99
1.0338695670154254,1534,99
1.0338481897318197,1534,99
1.0338268133322306,1533,99
1.0338054378166028,1533,99
1.033784063184882,1533,99
1.0337626894370129,1533,99
1.0337413165729408,1533,99
1.033719944592611,1533,99
1.0336985734959685,1533,99
1.0336772032829589,1533,99
1.033655833953527,1533,99
1.033634465507618,1533,99
1.0336130979451772,1533,99
1.0335917312661498,1533,99
1.0335703654704813,1533,99
1.0335490005581165,1532,99
1.0335276365290007,1532,99
1.0335062733830795,1532,99
1.0334849111202977,1532,99
1.0334635497406006,1532,99
1.0334421892439336,1532,99
1.033420829630242,1532,99
1.033399470899471,1532,99
1.0333781130515656,1532,99
1.0333567560864714,1532,99
1.0333354000041333,1532,99
1.033314044804497,1532,99
1.0332926904875075,1531,99
1.0332713370531101,1531,99
1.0332499845012502,1531,99
1.033228632831873,1531,99
1.0332072820449238,1531,99
1.033185932140348,1531,99
1.0331645831180907,1531,99
1.0331432349780973,1531,99
1.0331218877203132,1531,99
1.0331005413446837,1531,99
1.033079195851154,1531,99
1.0330578512396693,1531,99
1.0330365075101755,1530,99
1.0330151646626173,1530,99
1.0329938226969402,1530,99
1.0329724816130899,1530,99
1.0329511414110113,1530,99
1.0329298020906499,1529,99
1.0329084636519512,1529,99
1.0328871260948604,1529,99
1.032865789419323,1529,99
1.032844453625284,1529,99
1.0328231187126893,1529,99
1.0328017846814839,1529,99
1.0327804515316135,1529,99
1.032759119263023,1529,99
1.0327377878756583,1529,99
1.0327164573694647,1529,99
1.0326951277443872,1529,99
1.0326737990003718,1529,99
1.0326524711373635,1529,99
1.0326311441553078,1529,99
1.03260981805415,1528,99
1.0325884928338358,1528,99
1.0325671684943105,1528,99
1.0325458450355196,1528,99
1.0325245224574084,1528,99
1.0325032007599224,1528,99
1.032481879943007,1528,99
1.0324605600066077,1528,99
1.03243924095067,1528,99
1.0324179227751393,1528,99
1.0323966054799611,1527,99
1.032375289065081,1527,99
1.0323539735304441,1527,99
1.0323326588759962,1527,99
1.0323113451016828,1527,99
1.032290032207449,1527,99
1.0322687201932408,1527,98
1.0322474090590033,1527,98
1.032226098804682,1527,98
1.0322047894302229,1526,98
1.0321834809355712,1526,98
1.032162173320672,1526,98
1.0321408665854717,1526,98
1.032119560729915,1526,98
1.0320982557539478,1526,98
1.0320769516575157,1525,98
1.0320556484405639,1525,98
1.0320343461030383,1525,98
1.0320130446448843,1525,98
1.0319917440660475,1525,98
1.0319704443664734,1525,98
1.0319491455461074,1525,98
1.0319278476048954,1525,98
1.031906550542783,1525,98
1.0318852543597152,1525,98
1.0318639590556382,1525,98
1.0318426646304972,1524,98
1.0318213710842379,1524,98
