event_id,start_date,end_date,duration_days,n_active_cells,footprint_area_km2,peak_hail_max_in,peak_hail_mean_in,centroid_lat,centroid_lon
935,2011-06-07,2011-06-10,4,177,136300.62,3.119999885559082,1.4264971017837524,40.455,-88.311
936,2011-06-11,2011-06-12,2,42,32342.519999999997,4.619999885559082,1.5069048404693604,40.078,-98.521
937,2011-06-13,2011-06-14,2,46,35422.759999999995,2.869999885559082,1.4569566249847412,40.681,-97.509
938,2011-06-15,2011-06-19,5,212,163252.72,4.369999885559082,1.5162264108657837,38.808,-95.743
939,2011-06-20,2011-06-20,1,45,34652.7,2.869999885559082,1.608889102935791,38.688,-99.09
940,2011-06-21,2011-06-21,1,32,24641.92,3.119999885559082,1.369999885559082,36.895,-88.344
941,2011-06-22,2011-06-22,1,3,2310.18,1.1200000047683716,1.1200000047683716,45.167,-105.583
942,2011-06-23,2011-06-23,1,7,5390.42,2.119999885559082,1.5485714673995972,43.038,-104.483
943,2011-06-24,2011-06-26,3,105,80856.29999999999,2.869999885559082,1.4033334255218506,41.429,-98.09
944,2011-06-28,2011-06-28,1,14,10780.84,2.619999885559082,1.6021430492401123,34.684,-92.868
945,2011-06-29,2011-06-29,1,10,7700.599999999999,2.869999885559082,1.744999885559082,48.493,-106.983
946,2011-06-30,2011-06-30,1,13,10010.779999999999,2.869999885559082,1.5046155452728271,42.019,-97.599
947,2011-07-01,2011-07-02,2,47,36192.82,2.619999885559082,1.3912765979766846,42.629,-96.365
948,2011-07-03,2011-07-03,1,11,8470.66,1.8700000047683716,1.2336363792419434,37.503,-86.561
949,2011-07-04,2011-07-04,1,25,19251.5,1.8700000047683716,1.2400001287460327,45.431,-88.229
950,2011-07-05,2011-07-05,1,24,18481.44,1.8700000047683716,1.4325000047683716,42.265,-99.562
951,2011-07-06,2011-07-06,1,4,3080.24,1.1200000047683716,1.1200000047683716,41.25,-84.562
952,2011-07-07,2011-07-07,1,6,4620.36,1.8700000047683716,1.2450000047683716,43.339,-96.73
953,2011-07-08,2011-07-08,1,5,3850.2999999999997,1.8700000047683716,1.5199999809265137,44.902,-99.513
954,2011-07-09,2011-07-10,2,28,21561.68,2.619999885559082,1.503928303718567,43.165,-99.949
955,2011-07-11,2011-07-13,3,44,33882.64,2.619999885559082,1.3927271366119385,41.498,-96.47
956,2011-07-14,2011-07-15,2,25,19251.5,2.119999885559082,1.369999885559082,45.038,-103.134
957,2011-07-16,2011-07-18,3,33,25411.98,2.869999885559082,1.748787760734558,46.696,-101.1
958,2011-07-19,2011-07-19,1,11,8470.66,2.619999885559082,1.6200000047683716,46.02,-93.194
959,2011-07-21,2011-07-24,4,49,37732.939999999995,4.369999885559082,1.5689795017242432,45.884,-101.645
960,2011-07-25,2011-07-26,2,35,26952.1,2.119999885559082,1.2914283275604248,44.89,-99.099
961,2011-07-27,2011-07-31,5,57,43893.42,2.619999885559082,1.3743860721588135,44.365,-99.489
962,2011-08-01,2011-08-02,2,44,33882.64,3.119999885559082,1.3472726345062256,43.374,-84.852
963,2011-08-04,2011-08-04,1,8,6160.48,1.8700000047683716,1.4950000047683716,43.445,-102.56
964,2011-08-05,2011-08-05,1,4,3080.24,1.8700000047683716,1.3700000047683716,45.756,-102.926
965,2011-08-06,2011-08-06,1,14,10780.84,1.8700000047683716,1.3521430492401123,41.668,-97.112
966,2011-08-07,2011-08-11,5,133,102417.98,4.369999885559082,1.6688721179962158,41.064,-99.48
967,2011-08-12,2011-08-12,1,19,14631.14,2.619999885559082,1.2910526990890503,42.472,-97.862
968,2011-08-13,2011-08-13,1,18,13861.079999999998,2.619999885559082,1.4255555868148804,40.698,-88.016
969,2011-08-14,2011-08-15,2,21,16171.259999999998,2.119999885559082,1.3819048404693604,43.958,-100.546
970,2011-08-17,2011-08-19,3,97,74695.81999999999,4.369999885559082,1.6071135997772217,42.015,-92.877
971,2011-08-20,2011-08-21,2,21,16171.259999999998,2.119999885559082,1.3938096761703491,41.325,-85.665
972,2011-08-22,2011-08-22,1,12,9240.72,1.8700000047683716,1.2866666316986084,44.413,-97.117
973,2011-08-23,2011-08-23,1,1,770.06,1.8700000047683716,1.8700000047683716,36.25,-91.25
974,2011-08-24,2011-08-24,1,9,6930.539999999999,1.8700000047683716,1.3700000047683716,41.023,-84.758
975,2011-08-25,2011-08-25,1,2,1540.12,1.1200000047683716,1.1200000047683716,41.375,-95.875
976,2011-08-26,2011-08-26,1,1,770.06,1.1200000047683716,1.1200000047683716,39.0,-99.75
977,2011-08-27,2011-08-28,2,20,15401.199999999999,3.119999885559082,1.3950001001358032,44.478,-100.095
978,2011-08-29,2011-08-29,1,6,4620.36,1.8700000047683716,1.2866666316986084,39.475,-100.555
979,2011-08-31,2011-08-31,1,6,4620.36,1.8700000047683716,1.3283332586288452,47.429,-101.774
980,2011-09-01,2011-09-01,1,4,3080.24,1.6200000047683716,1.2450000047683716,43.056,-95.65
981,2011-09-02,2011-09-04,3,26,20021.559999999998,2.119999885559082,1.341153860092163,40.579,-85.332
982,2011-09-09,2011-09-09,1,2,1540.12,1.1200000047683716,1.1200000047683716,35.75,-103.25
983,2011-09-11,2011-09-11,1,6,4620.36,1.6200000047683716,1.2033332586288452,35.65,-86.221
984,2011-09-12,2011-09-13,2,10,7700.599999999999,1.8700000047683716,1.3199999332427979,43.79,-89.385
985,2011-09-14,2011-09-14,1,8,6160.48,2.119999885559082,1.463749885559082,38.386,-82.656
986,2011-09-15,2011-09-15,1,4,3080.24,1.8700000047683716,1.6825000047683716,33.138,-103.41
987,2011-09-16,2011-09-16,1,2,1540.12,1.1200000047683716,1.1200000047683716,38.125,-105.75
988,2011-09-17,2011-09-17,1,3,2310.18,1.8700000047683716,1.3700000047683716,36.137,-97.704
989,2011-09-18,2011-09-18,1,2,1540.12,1.8700000047683716,1.8700000047683716,34.125,-94.5
990,2011-09-25,2011-09-25,1,19,14631.14,3.119999885559082,1.580526351928711,34.773,-89.645
991,2011-09-26,2011-09-26,1,4,3080.24,1.8700000047683716,1.3075000047683716,40.304,-81.285
992,2011-09-27,2011-09-27,1,5,3850.2999999999997,1.8700000047683716,1.2699999809265137,33.088,-84.617
993,2011-09-28,2011-09-28,1,3,2310.18,2.869999885559082,1.7033332586288452,34.973,-81.103
994,2011-09-29,2011-09-29,1,1,770.06,1.1200000047683716,1.1200000047683716,28.75,-81.0
995,2011-10-05,2011-10-05,1,1,770.06,1.1200000047683716,1.1200000047683716,39.75,-122.0
996,2011-10-06,2011-10-06,1,4,3080.24,1.6200000047683716,1.3075000047683716,42.38,-101.911
997,2011-10-07,2011-10-07,1,12,9240.72,2.619999885559082,1.5783333778381348,38.38,-101.054
998,2011-10-11,2011-10-11,1,4,3080.24,1.8700000047683716,1.4950000047683716,34.25,-100.187
999,2011-10-13,2011-10-13,1,2,1540.12,1.1200000047683716,1.1200000047683716,35.375,-77.75
1000,2011-10-18,2011-10-18,1,2,1540.12,1.8700000047683716,1.4950000047683716,35.813,-86.5
1001,2011-10-22,2011-10-22,1,9,6930.539999999999,2.869999885559082,1.8422222137451172,34.584,-97.333
1002,2011-11-07,2011-11-07,1,13,10010.779999999999,2.119999885559082,1.6200001239776611,35.111,-99.495
1003,2011-11-14,2011-11-14,1,13,10010.779999999999,1.8700000047683716,1.312307596206665,40.297,-85.402
1004,2011-11-20,2011-11-20,1,3,2310.18,1.8700000047683716,1.3700000047683716,37.75,-88.614
1005,2012-01-21,2012-01-21,1,5,3850.2999999999997,1.8700000047683716,1.4199999570846558,32.29,-84.474
1006,2012-01-22,2012-01-22,1,15,11550.9,2.869999885559082,1.753333568572998,34.965,-91.24
1007,2012-01-25,2012-01-25,1,1,770.06,1.1200000047683716,1.1200000047683716,32.0,-90.25
1008,2012-02-01,2012-02-01,1,9,6930.539999999999,1.8700000047683716,1.3144444227218628,34.082,-93.305
1009,2012-02-02,2012-02-02,1,5,3850.2999999999997,1.8700000047683716,1.2699999809265137,36.163,-100.69
1010,2012-02-03,2012-02-03,1,7,5390.42,1.1200000047683716,1.1200000047683716,32.536,-96.286
1011,2012-02-18,2012-02-18,1,1,770.06,1.1200000047683716,1.1200000047683716,31.5,-85.75
1012,2012-02-20,2012-02-20,1,1,770.06,1.1200000047683716,1.1200000047683716,39.5,-97.75
1013,2012-02-21,2012-02-21,1,1,770.06,1.1200000047683716,1.1200000047683716,35.75,-90.75
1014,2012-02-22,2012-02-22,1,3,2310.18,1.8700000047683716,1.3700000047683716,36.887,-87.069
1015,2012-02-24,2012-02-24,1,6,4620.36,1.8700000047683716,1.411666750907898,33.183,-85.033
1016,2012-02-28,2012-02-29,2,35,26952.1,3.119999885559082,1.4414284229278564,37.305,-91.008
1017,2012-03-01,2012-03-02,2,128,98567.68,3.119999885559082,1.6180472373962402,36.432,-87.379
1018,2012-03-07,2012-03-07,1,3,2310.18,1.6200000047683716,1.286666750907898,38.0,-97.387
1019,2012-03-08,2012-03-08,1,1,770.06,1.8700000047683716,1.8700000047683716,27.75,-99.25
1020,2012-03-12,2012-03-12,1,1,770.06,2.119999885559082,2.119999885559082,44.0,-84.75
1021,2012-03-14,2012-03-15,2,73,56214.38,2.869999885559082,1.3391780853271484,39.223,-86.414
1022,2012-03-16,2012-03-17,2,18,13861.079999999998,2.119999885559082,1.258888840675354,36.92,-87.951
1023,2012-03-18,2012-03-19,2,43,33112.579999999994,4.369999885559082,1.4979069232940674,37.082,-96.611
1024,2012-03-20,2012-03-20,1,4,3080.24,1.1200000047683716,1.1200000047683716,36.812,-79.688
1025,2012-03-21,2012-03-21,1,1,770.06,1.1200000047683716,1.1200000047683716,38.25,-80.75
1026,2012-03-22,2012-03-22,1,1,770.06,1.1200000047683716,1.1200000047683716,34.75,-79.0
1027,2012-03-24,2012-03-24,1,22,16941.32,2.619999885559082,1.3018183708190918,35.92,-80.695
1028,2012-03-25,2012-03-25,1,2,1540.12,1.8700000047683716,1.7450000047683716,35.598,-77.518
1029,2012-03-26,2012-03-26,1,3,2310.18,1.1200000047683716,1.1200000047683716,32.667,-102.75
1030,2012-03-28,2012-03-29,2,53,40813.18,4.369999885559082,1.5350944995880127,38.393,-92.339
1031,2012-03-30,2012-03-31,2,56,43123.36,4.369999885559082,1.4771429300308228,36.605,-88.117
1032,2012-04-01,2012-04-01,1,10,7700.599999999999,1.6200000047683716,1.2699999809265137,38.876,-86.869
1033,2012-04-02,2012-04-05,4,73,56214.38,2.869999885559082,1.4145206212997437,33.419,-91.126
1034,2012-04-06,2012-04-06,1,3,2310.18,1.1200000047683716,1.1200000047683716,38.083,-102.0
1035,2012-04-07,2012-04-07,1,12,9240.72,3.119999885559082,1.7450000047683716,32.129,-100.761
1036,2012-04-10,2012-04-10,1,8,6160.48,1.8700000047683716,1.3075000047683716,34.598,-95.848
1037,2012-04-11,2012-04-11,1,6,4620.36,4.119999885559082,2.4533331394195557,33.987,-103.013
1038,2012-04-12,2012-04-14,3,96,73925.76,4.119999885559082,1.6825000047683716,39.827,-98.906
1039,2012-04-15,2012-04-15,1,6,4620.36,1.1200000047683716,1.1200000047683716,40.292,-96.625
1040,2012-04-17,2012-04-17,1,1,770.06,1.1200000047683716,1.1200000047683716,33.25,-86.5
1041,2012-04-19,2012-04-19,1,8,6160.48,3.119999885559082,1.963749885559082,34.298,-99.502
1042,2012-04-20,2012-04-20,1,10,7700.599999999999,2.869999885559082,1.5199999809265137,27.983,-96.763
1043,2012-04-21,2012-04-21,1,2,1540.12,1.3700000047683716,1.2450000047683716,33.913,-79.725
1044,2012-04-23,2012-04-23,1,2,1540.12,1.1200000047683716,1.1200000047683716,45.0,-120.375
1045,2012-04-24,2012-04-24,1,5,3850.2999999999997,1.8700000047683716,1.3700000047683716,46.886,-116.241
1046,2012-04-25,2012-04-27,3,69,53134.14,2.869999885559082,1.4279711246490479,37.679,-90.541
1047,2012-04-28,2012-05-02,5,183,140920.97999999998,4.619999885559082,1.645956039428711,38.56,-94.89
1048,2012-05-03,2012-05-07,5,210,161712.59999999998,2.869999885559082,1.3783334493637085,40.34,-93.999
1049,2012-05-09,2012-05-11,3,7,5390.42,1.8700000047683716,1.2271429300308228,28.011,-98.294
1050,2012-05-12,2012-05-12,1,4,3080.24,1.1200000047683716,1.1200000047683716,31.625,-102.25
1051,2012-05-13,2012-05-13,1,2,1540.12,1.1200000047683716,1.1200000047683716,34.375,-106.75
1052,2012-05-14,2012-05-14,1,7,5390.42,1.8700000047683716,1.2985714673995972,33.367,-83.776
1053,2012-05-16,2012-05-17,2,7,5390.42,1.6200000047683716,1.2271429300308228,40.375,-75.912
1054,2012-05-19,2012-05-20,2,71,54674.259999999995,3.119999885559082,1.436901569366455,39.335,-97.09
1055,2012-05-22,2012-05-25,4,71,54674.259999999995,2.869999885559082,1.3383100032806396,40.225,-94.089
1056,2012-05-26,2012-05-26,1,10,7700.599999999999,1.8700000047683716,1.1949999332427979,43.282,-98.936
1057,2012-05-27,2012-05-27,1,54,41583.24,2.869999885559082,1.5968520641326904,40.652,-97.222
1058,2012-05-28,2012-06-01,5,163,125519.77999999998,4.619999885559082,1.6384048461914062,37.573,-94.489
1059,2012-06-02,2012-06-04,3,32,24641.92,1.8700000047683716,1.3543750047683716,39.69,-102.752
1060,2012-06-05,2012-06-05,1,5,3850.2999999999997,1.8700000047683716,1.6200001239776611,41.196,-102.198
1061,2012-06-06,2012-06-07,2,35,26952.1,4.119999885559082,1.5199998617172241,41.965,-102.775
1062,2012-06-08,2012-06-08,1,16,12320.96,1.8700000047683716,1.2137500047683716,45.945,-98.519
1063,2012-06-09,2012-06-10,2,15,11550.9,2.119999885559082,1.43666672706604,44.526,-98.022
1064,2012-06-13,2012-06-14,2,66,50823.96,3.119999885559082,1.4646968841552734,40.33,-99.134
1065,2012-06-15,2012-06-15,1,5,3850.2999999999997,1.8700000047683716,1.4700000286102295,35.419,-94.325
1066,2012-06-16,2012-06-16,1,11,8470.66,1.8700000047683716,1.3245453834533691,40.438,-93.004
1067,2012-06-17,2012-06-17,1,12,9240.72,1.8700000047683716,1.349166750907898,45.838,-96.823
1068,2012-06-20,2012-06-20,1,8,6160.48,2.119999885559082,1.432499885559082,38.099,-100.832
1069,2012-06-21,2012-06-21,1,3,2310.18,1.1200000047683716,1.1200000047683716,41.583,-94.917
1070,2012-06-22,2012-06-22,1,16,12320.96,4.369999885559082,1.635624885559082,42.174,-96.24
1071,2012-06-23,2012-06-25,3,27,20791.62,2.619999885559082,1.3237035274505615,46.225,-104.051
1072,2012-06-26,2012-06-26,1,3,2310.18,1.1200000047683716,1.1200000047683716,49.0,-106.5
1073,2012-06-28,2012-06-28,1,9,6930.539999999999,1.8700000047683716,1.397777795791626,41.592,-86.735
1074,2012-06-30,2012-06-30,1,23,17711.379999999997,2.119999885559082,1.4352176189422607,40.882,-88.994
1075,2012-07-02,2012-07-04,3,62,47743.719999999994,2.119999885559082,1.4264519214630127,42.288,-86.149
